run_accession	study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	read_count	base_count	center_name	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_bytes	submitted_md5	submitted_ftp	submitted_aspera	submitted_galaxy	submitted_format	sample_alias	broker_name	sample_title	nominal_sdev	first_created	bam_ftp	bam_bytes	bam_md5	fastq_file_role	submitted_file_role	bam_file_role
SRR16303365	PRJNA770746	SRP341087	SAMN22233344	SRS10537869	SRX12582112	SRA1309995	646099	human metagenome	ILLUMINA	Illumina MiSeq	FECAL421		PAIRED	AMPLICON	METAGENOMIC	PCR	31097	15601347	SUB10513123	2022-11-02	2022-11-02	Illumina MiSeq sequencing: 16S sequencing of oral and gut microbiome in human AD	Alzheimer's Oral and Gut Microbiome Vancouver Canada	PRJNA770746	FECAL421	FECAL421_S140_L001_R1_001.fastq.gz	2431450;3499795	6912943d960edebe42f65c5b7348eda8;2650064d02683f04ed14c66dbb3acfd9	ftp.sra.ebi.ac.uk/vol1/fastq/SRR163/065/SRR16303365/SRR16303365_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR163/065/SRR16303365/SRR16303365_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR163/065/SRR16303365/SRR16303365_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR163/065/SRR16303365/SRR16303365_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR163/065/SRR16303365/SRR16303365_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR163/065/SRR16303365/SRR16303365_2.fastq.gz							FECAL421		Metagenome or environmental sample from human metagenome		2022-11-02				GENERATED_FILE;GENERATED_FILE		
SRR16303454	PRJNA770746	SRP341087	SAMN22233441	SRS10537780	SRX12582023	SRA1309995	646099	human metagenome	ILLUMINA	Illumina MiSeq	FECAL881		PAIRED	AMPLICON	METAGENOMIC	PCR	47705	23937934	SUB10513123	2022-11-02	2022-11-02	Illumina MiSeq sequencing: 16S sequencing of oral and gut microbiome in human AD	Alzheimer's Oral and Gut Microbiome Vancouver Canada	PRJNA770746	FECAL881	FECAL881_S97_L001_R1_001.fastq.gz	3567429;4893649	2483bad0725520b0a44d214597c385ed;4b83127fbe9e8ce27b7050a31b3a01c9	ftp.sra.ebi.ac.uk/vol1/fastq/SRR163/054/SRR16303454/SRR16303454_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR163/054/SRR16303454/SRR16303454_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR163/054/SRR16303454/SRR16303454_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR163/054/SRR16303454/SRR16303454_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR163/054/SRR16303454/SRR16303454_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR163/054/SRR16303454/SRR16303454_2.fastq.gz							FECAL881		Metagenome or environmental sample from human metagenome		2022-11-02				GENERATED_FILE;GENERATED_FILE		
SRR16303456	PRJNA770746	SRP341087	SAMN22233439	SRS10537779	SRX12582021	SRA1309995	646099	human metagenome	ILLUMINA	Illumina MiSeq	FECAL268		PAIRED	AMPLICON	METAGENOMIC	PCR	42396	21273517	SUB10513123	2022-11-02	2022-11-02	Illumina MiSeq sequencing: 16S sequencing of oral and gut microbiome in human AD	Alzheimer's Oral and Gut Microbiome Vancouver Canada	PRJNA770746	FECAL268	FECAL268_S137_L001_R1_001.fastq.gz	3456688;4534850	a74867635074338d4c01e75c79679c27;954e3dfc52aec34a3892ddaa0e6981ab	ftp.sra.ebi.ac.uk/vol1/fastq/SRR163/056/SRR16303456/SRR16303456_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR163/056/SRR16303456/SRR16303456_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR163/056/SRR16303456/SRR16303456_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR163/056/SRR16303456/SRR16303456_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR163/056/SRR16303456/SRR16303456_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR163/056/SRR16303456/SRR16303456_2.fastq.gz							FECAL268		Metagenome or environmental sample from human metagenome		2022-11-02				GENERATED_FILE;GENERATED_FILE		
SRR16303457	PRJNA770746	SRP341087	SAMN22233438	SRS10537777	SRX12582020	SRA1309995	646099	human metagenome	ILLUMINA	Illumina MiSeq	FECAL767		PAIRED	AMPLICON	METAGENOMIC	PCR	42334	21245672	SUB10513123	2022-11-02	2022-11-03	Illumina MiSeq sequencing: 16S sequencing of oral and gut microbiome in human AD	Alzheimer's Oral and Gut Microbiome Vancouver Canada	PRJNA770746	FECAL767	FECAL767_S79_L001_R1_001.fastq.gz	3112279;3929943	f4d6e58b41a4ae60fe379e4382640aee;ea4340e2dd1051091836b8da16d40b0c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR163/057/SRR16303457/SRR16303457_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR163/057/SRR16303457/SRR16303457_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR163/057/SRR16303457/SRR16303457_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR163/057/SRR16303457/SRR16303457_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR163/057/SRR16303457/SRR16303457_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR163/057/SRR16303457/SRR16303457_2.fastq.gz							FECAL767		Metagenome or environmental sample from human metagenome		2022-11-02				GENERATED_FILE;GENERATED_FILE		
SRR16303459	PRJNA770746	SRP341087	SAMN22233436	SRS10537775	SRX12582018	SRA1309995	646099	human metagenome	ILLUMINA	Illumina MiSeq	FECAL432		PAIRED	AMPLICON	METAGENOMIC	PCR	48877	24521047	SUB10513123	2022-11-02	2022-11-02	Illumina MiSeq sequencing: 16S sequencing of oral and gut microbiome in human AD	Alzheimer's Oral and Gut Microbiome Vancouver Canada	PRJNA770746	FECAL432	FECAL432_S128_L001_R1_001.fastq.gz	3726249;4891259	70f9fa394975e79221b04879fdbca090;ecf4344ad75e0495b6659b9e4c01e059	ftp.sra.ebi.ac.uk/vol1/fastq/SRR163/059/SRR16303459/SRR16303459_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR163/059/SRR16303459/SRR16303459_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR163/059/SRR16303459/SRR16303459_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR163/059/SRR16303459/SRR16303459_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR163/059/SRR16303459/SRR16303459_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR163/059/SRR16303459/SRR16303459_2.fastq.gz							FECAL432		Metagenome or environmental sample from human metagenome		2022-11-02				GENERATED_FILE;GENERATED_FILE		
SRR16303463	PRJNA770746	SRP341087	SAMN22233433	SRS10537771	SRX12582014	SRA1309995	646099	human metagenome	ILLUMINA	Illumina MiSeq	FECAL375		PAIRED	AMPLICON	METAGENOMIC	PCR	48910	24513719	SUB10513123	2022-11-02	2022-11-02	Illumina MiSeq sequencing: 16S sequencing of oral and gut microbiome in human AD	Alzheimer's Oral and Gut Microbiome Vancouver Canada	PRJNA770746	FECAL375	FECAL375_S99_L001_R1_001.fastq.gz	3672029;4839823	37bd0ff828e4cf88594083b8540570de;7651d6486b1a08197706d289c5ae8603	ftp.sra.ebi.ac.uk/vol1/fastq/SRR163/063/SRR16303463/SRR16303463_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR163/063/SRR16303463/SRR16303463_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR163/063/SRR16303463/SRR16303463_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR163/063/SRR16303463/SRR16303463_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR163/063/SRR16303463/SRR16303463_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR163/063/SRR16303463/SRR16303463_2.fastq.gz							FECAL375		Metagenome or environmental sample from human metagenome		2022-11-02				GENERATED_FILE;GENERATED_FILE		
SRR16303466	PRJNA770746	SRP341087	SAMN22233430	SRS10537767	SRX12582011	SRA1309995	646099	human metagenome	ILLUMINA	Illumina MiSeq	FECAL319		PAIRED	AMPLICON	METAGENOMIC	PCR	38494	19317430	SUB10513123	2022-11-02	2022-11-02	Illumina MiSeq sequencing: 16S sequencing of oral and gut microbiome in human AD	Alzheimer's Oral and Gut Microbiome Vancouver Canada	PRJNA770746	FECAL319	FECAL319_S117_L001_R1_001.fastq.gz	3036689;4019801	080e1077e0556faed6105103c8e78449;1df385e014ee00a0985ca0dee1f552eb	ftp.sra.ebi.ac.uk/vol1/fastq/SRR163/066/SRR16303466/SRR16303466_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR163/066/SRR16303466/SRR16303466_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR163/066/SRR16303466/SRR16303466_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR163/066/SRR16303466/SRR16303466_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR163/066/SRR16303466/SRR16303466_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR163/066/SRR16303466/SRR16303466_2.fastq.gz							FECAL319		Metagenome or environmental sample from human metagenome		2022-11-02				GENERATED_FILE;GENERATED_FILE		
SRR16303467	PRJNA770746	SRP341087	SAMN22233429	SRS10537768	SRX12582010	SRA1309995	646099	human metagenome	ILLUMINA	Illumina MiSeq	FECAL652		PAIRED	AMPLICON	METAGENOMIC	PCR	49413	24795845	SUB10513123	2022-11-02	2022-11-03	Illumina MiSeq sequencing: 16S sequencing of oral and gut microbiome in human AD	Alzheimer's Oral and Gut Microbiome Vancouver Canada	PRJNA770746	FECAL652	FECAL652_S107_L001_R1_001.fastq.gz	3518007;4743835	0620edb73e2d5acb7ca4c8135cd62793;536dd64403e4f0b193314d02474adc21	ftp.sra.ebi.ac.uk/vol1/fastq/SRR163/067/SRR16303467/SRR16303467_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR163/067/SRR16303467/SRR16303467_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR163/067/SRR16303467/SRR16303467_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR163/067/SRR16303467/SRR16303467_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR163/067/SRR16303467/SRR16303467_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR163/067/SRR16303467/SRR16303467_2.fastq.gz							FECAL652		Metagenome or environmental sample from human metagenome		2022-11-02				GENERATED_FILE;GENERATED_FILE		
SRR16303468	PRJNA770746	SRP341087	SAMN22233428	SRS10537766	SRX12582009	SRA1309995	646099	human metagenome	ILLUMINA	Illumina MiSeq	FECAL273		PAIRED	AMPLICON	METAGENOMIC	PCR	48824	24500789	SUB10513123	2022-11-02	2022-11-02	Illumina MiSeq sequencing: 16S sequencing of oral and gut microbiome in human AD	Alzheimer's Oral and Gut Microbiome Vancouver Canada	PRJNA770746	FECAL273	FECAL273_S119_L001_R1_001.fastq.gz	3798425;5125006	79f6041edafcc9792187b054a2d24320;326e86dc373337c09db0bd8fb1fffcc1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR163/068/SRR16303468/SRR16303468_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR163/068/SRR16303468/SRR16303468_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR163/068/SRR16303468/SRR16303468_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR163/068/SRR16303468/SRR16303468_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR163/068/SRR16303468/SRR16303468_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR163/068/SRR16303468/SRR16303468_2.fastq.gz							FECAL273		Metagenome or environmental sample from human metagenome		2022-11-02				GENERATED_FILE;GENERATED_FILE		
SRR16303470	PRJNA770746	SRP341087	SAMN22233426	SRS10537764	SRX12582007	SRA1309995	646099	human metagenome	ILLUMINA	Illumina MiSeq	FECAL180		PAIRED	AMPLICON	METAGENOMIC	PCR	46802	23474044	SUB10513123	2022-11-02	2022-11-03	Illumina MiSeq sequencing: 16S sequencing of oral and gut microbiome in human AD	Alzheimer's Oral and Gut Microbiome Vancouver Canada	PRJNA770746	FECAL180	FECAL180_S135_L001_R1_001.fastq.gz	3805915;5371268	cfd16094d33254ad5b81c7692c2208da;8b76d76c66460b22745e85c2b4c42d98	ftp.sra.ebi.ac.uk/vol1/fastq/SRR163/070/SRR16303470/SRR16303470_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR163/070/SRR16303470/SRR16303470_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR163/070/SRR16303470/SRR16303470_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR163/070/SRR16303470/SRR16303470_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR163/070/SRR16303470/SRR16303470_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR163/070/SRR16303470/SRR16303470_2.fastq.gz							FECAL180		Metagenome or environmental sample from human metagenome		2022-11-02				GENERATED_FILE;GENERATED_FILE		
