run_accession	study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	read_count	base_count	center_name	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_bytes	submitted_md5	submitted_ftp	submitted_aspera	submitted_galaxy	submitted_format	sample_alias	broker_name	sample_title	nominal_sdev	first_created	bam_ftp	bam_bytes	bam_md5	fastq_file_role	submitted_file_role	bam_file_role
SRR7811007	PRJNA489760	SRP160417	SAMN09988840	SRS3758063	SRX4662821	SRA770179	1504969	human blood metagenome	ILLUMINA	Illumina MiSeq	B_MCI_10		PAIRED	AMPLICON	METATRANSCRIPTOMIC	PCR	29092	17455200	SUB4499500	2018-09-09	2018-09-09	Illumina MiSeq sequencing: DNA-Seq of environmental metagenomes :blood metagenome	Fecal and blood microbiota of AD, MCI and normal controls	PRJNA489760	B_MCI_10	851_70_R2.fastq	2663568;3715914	7b8d65f9babde9179689440b7b4ac92c;08d56a2556d145535bff997c85afe32c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR781/007/SRR7811007/SRR7811007_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR781/007/SRR7811007/SRR7811007_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR781/007/SRR7811007/SRR7811007_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR781/007/SRR7811007/SRR7811007_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR781/007/SRR7811007/SRR7811007_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR781/007/SRR7811007/SRR7811007_2.fastq.gz							B_MCI_10		Metagenome or environmental sample from human blood metagenome		2018-09-09				GENERATED_FILE;GENERATED_FILE		
SRR7811011	PRJNA489760	SRP160417	SAMN09988901	SRS3758059	SRX4662817	SRA770179	1504969	human blood metagenome	ILLUMINA	Illumina MiSeq	B_NC_11		PAIRED	AMPLICON	METATRANSCRIPTOMIC	PCR	47611	28661822	SUB4499500	2018-09-09	2018-09-09	Illumina MiSeq sequencing: DNA-Seq of environmental metagenomes :blood metagenome	Fecal and blood microbiota of AD, MCI and normal controls	PRJNA489760	B_NC_11	HY136_R1.fastq	5795734;8490894	37ad32d8bc18d675a55afb829d47923b;913d2001fff8bf37ee4e7f43e7903720	ftp.sra.ebi.ac.uk/vol1/fastq/SRR781/001/SRR7811011/SRR7811011_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR781/001/SRR7811011/SRR7811011_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR781/001/SRR7811011/SRR7811011_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR781/001/SRR7811011/SRR7811011_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR781/001/SRR7811011/SRR7811011_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR781/001/SRR7811011/SRR7811011_2.fastq.gz							B_NC_11		Metagenome or environmental sample from human blood metagenome		2018-09-09				GENERATED_FILE;GENERATED_FILE		
SRR7811012	PRJNA489760	SRP160417	SAMN09988902	SRS3758058	SRX4662816	SRA770179	1504969	human blood metagenome	ILLUMINA	Illumina MiSeq	B_NC_12		PAIRED	AMPLICON	METATRANSCRIPTOMIC	PCR	47744	28741888	SUB4499500	2018-09-09	2018-09-09	Illumina MiSeq sequencing: DNA-Seq of environmental metagenomes :blood metagenome	Fecal and blood microbiota of AD, MCI and normal controls	PRJNA489760	B_NC_12	HY137_R1.fastq	5547170;8458816	8263abf9e17d778c837b118b146738c1;52dd560997848c5f244567a313253e39	ftp.sra.ebi.ac.uk/vol1/fastq/SRR781/002/SRR7811012/SRR7811012_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR781/002/SRR7811012/SRR7811012_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR781/002/SRR7811012/SRR7811012_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR781/002/SRR7811012/SRR7811012_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR781/002/SRR7811012/SRR7811012_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR781/002/SRR7811012/SRR7811012_2.fastq.gz							B_NC_12		Metagenome or environmental sample from human blood metagenome		2018-09-09				GENERATED_FILE;GENERATED_FILE		
SRR7811013	PRJNA489760	SRP160417	SAMN09988903	SRS3758056	SRX4662815	SRA770179	1504969	human blood metagenome	ILLUMINA	Illumina MiSeq	B_NC_13		PAIRED	AMPLICON	METATRANSCRIPTOMIC	PCR	47371	28517342	SUB4499500	2018-09-09	2018-09-09	Illumina MiSeq sequencing: DNA-Seq of environmental metagenomes :blood metagenome	Fecal and blood microbiota of AD, MCI and normal controls	PRJNA489760	B_NC_13	HY138_R1.fastq	5585667;8184905	c497b0b9a03335a0265ad0c7275ccbf3;868069c77c1744e3d030fe11ada6dc10	ftp.sra.ebi.ac.uk/vol1/fastq/SRR781/003/SRR7811013/SRR7811013_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR781/003/SRR7811013/SRR7811013_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR781/003/SRR7811013/SRR7811013_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR781/003/SRR7811013/SRR7811013_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR781/003/SRR7811013/SRR7811013_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR781/003/SRR7811013/SRR7811013_2.fastq.gz							B_NC_13		Metagenome or environmental sample from human blood metagenome		2018-09-09				GENERATED_FILE;GENERATED_FILE		
SRR7811017	PRJNA489760	SRP160417	SAMN09988907	SRS3758052	SRX4662811	SRA770179	1504969	human blood metagenome	ILLUMINA	Illumina MiSeq	B_NC_17		PAIRED	AMPLICON	METATRANSCRIPTOMIC	PCR	44837	26991874	SUB4499500	2018-09-09	2018-09-09	Illumina MiSeq sequencing: DNA-Seq of environmental metagenomes :blood metagenome	Fecal and blood microbiota of AD, MCI and normal controls	PRJNA489760	B_NC_17	HY143_R2.fastq	5172638;7518151	a4a0e6f1885797d3676e8076666d1416;ac5150531524aeee53c77831c223ee97	ftp.sra.ebi.ac.uk/vol1/fastq/SRR781/007/SRR7811017/SRR7811017_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR781/007/SRR7811017/SRR7811017_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR781/007/SRR7811017/SRR7811017_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR781/007/SRR7811017/SRR7811017_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR781/007/SRR7811017/SRR7811017_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR781/007/SRR7811017/SRR7811017_2.fastq.gz							B_NC_17		Metagenome or environmental sample from human blood metagenome		2018-09-09				GENERATED_FILE;GENERATED_FILE		
SRR7811009	PRJNA489760	SRP160417	SAMN09988909	SRS3758060	SRX4662819	SRA770179	1504969	human blood metagenome	ILLUMINA	Illumina MiSeq	B_NC_19		PAIRED	AMPLICON	METATRANSCRIPTOMIC	PCR	44661	26885922	SUB4499500	2018-09-09	2018-09-09	Illumina MiSeq sequencing: DNA-Seq of environmental metagenomes :blood metagenome	Fecal and blood microbiota of AD, MCI and normal controls	PRJNA489760	B_NC_19	HY145_R2.fastq	5340573;7910233	adf58ce16a19565b4101aa149539621e;45449f4811a5b768e0c8db6e4c360e6d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR781/009/SRR7811009/SRR7811009_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR781/009/SRR7811009/SRR7811009_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR781/009/SRR7811009/SRR7811009_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR781/009/SRR7811009/SRR7811009_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR781/009/SRR7811009/SRR7811009_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR781/009/SRR7811009/SRR7811009_2.fastq.gz							B_NC_19		Metagenome or environmental sample from human blood metagenome		2018-09-09				GENERATED_FILE;GENERATED_FILE		
SRR7811019	PRJNA489760	SRP160417	SAMN09988834	SRS3758051	SRX4662809	SRA770179	1504969	human blood metagenome	ILLUMINA	Illumina MiSeq	B_MCI_4		PAIRED	AMPLICON	METATRANSCRIPTOMIC	PCR	37978	22786800	SUB4499500	2018-09-09	2018-09-09	Illumina MiSeq sequencing: DNA-Seq of environmental metagenomes :blood metagenome	Fecal and blood microbiota of AD, MCI and normal controls	PRJNA489760	B_MCI_4	851_64_R2.fastq	3342728;5412253	7cd320f68570a436c966c9f74575a389;5e10a8feda834432fe140ed62f01580e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR781/009/SRR7811019/SRR7811019_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR781/009/SRR7811019/SRR7811019_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR781/009/SRR7811019/SRR7811019_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR781/009/SRR7811019/SRR7811019_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR781/009/SRR7811019/SRR7811019_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR781/009/SRR7811019/SRR7811019_2.fastq.gz							B_MCI_4		Metagenome or environmental sample from human blood metagenome		2018-09-09				GENERATED_FILE;GENERATED_FILE		
SRR7811015	PRJNA489760	SRP160417	SAMN09988905	SRS3758057	SRX4662813	SRA770179	1504969	human blood metagenome	ILLUMINA	Illumina MiSeq	B_NC_15		PAIRED	AMPLICON	METATRANSCRIPTOMIC	PCR	41376	24908352	SUB4499500	2018-09-09	2018-09-09	Illumina MiSeq sequencing: DNA-Seq of environmental metagenomes :blood metagenome	Fecal and blood microbiota of AD, MCI and normal controls	PRJNA489760	B_NC_15	HY141_R1.fastq	4976469;7384277	d804ebf54ec2a8d6f0fe58b64c541e28;d8eb39dba5373742eddefcaaa04fd69f	ftp.sra.ebi.ac.uk/vol1/fastq/SRR781/005/SRR7811015/SRR7811015_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR781/005/SRR7811015/SRR7811015_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR781/005/SRR7811015/SRR7811015_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR781/005/SRR7811015/SRR7811015_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR781/005/SRR7811015/SRR7811015_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR781/005/SRR7811015/SRR7811015_2.fastq.gz							B_NC_15		Metagenome or environmental sample from human blood metagenome		2018-09-09				GENERATED_FILE;GENERATED_FILE		
SRR7811021	PRJNA489760	SRP160417	SAMN09988811	SRS3758050	SRX4662807	SRA770179	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	F_NC_11		PAIRED	AMPLICON	METATRANSCRIPTOMIC	PCR	52037	31326274	SUB4499500	2018-09-09	2018-09-09	Illumina MiSeq sequencing: DNA-Seq of environmental metagenomes :feces metagenome	Fecal and blood microbiota of AD, MCI and normal controls	PRJNA489760	F_NC_11	HY56_R2.fastq	6638399;8922079	131f4434a6598b40156192323d5601a3;56e29764030ea50a7c623a63531b1446	ftp.sra.ebi.ac.uk/vol1/fastq/SRR781/001/SRR7811021/SRR7811021_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR781/001/SRR7811021/SRR7811021_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR781/001/SRR7811021/SRR7811021_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR781/001/SRR7811021/SRR7811021_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR781/001/SRR7811021/SRR7811021_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR781/001/SRR7811021/SRR7811021_2.fastq.gz							F_NC_11		Metagenome or environmental sample from human gut metagenome		2018-09-09				GENERATED_FILE;GENERATED_FILE		
SRR7811016	PRJNA489760	SRP160417	SAMN09988906	SRS3758054	SRX4662812	SRA770179	1504969	human blood metagenome	ILLUMINA	Illumina MiSeq	B_NC_16		PAIRED	AMPLICON	METATRANSCRIPTOMIC	PCR	44567	26829334	SUB4499500	2018-09-09	2018-09-09	Illumina MiSeq sequencing: DNA-Seq of environmental metagenomes :blood metagenome	Fecal and blood microbiota of AD, MCI and normal controls	PRJNA489760	B_NC_16	HY142_R2.fastq	5260208;7860307	534cbea1856c69608947255153ddaebb;26fa401dad7ea71746c955a7aae265e1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR781/006/SRR7811016/SRR7811016_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR781/006/SRR7811016/SRR7811016_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR781/006/SRR7811016/SRR7811016_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR781/006/SRR7811016/SRR7811016_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR781/006/SRR7811016/SRR7811016_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR781/006/SRR7811016/SRR7811016_2.fastq.gz							B_NC_16		Metagenome or environmental sample from human blood metagenome		2018-09-09				GENERATED_FILE;GENERATED_FILE		
