run_accession	study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	read_count	base_count	center_name	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_bytes	submitted_md5	submitted_ftp	submitted_aspera	submitted_galaxy	submitted_format	sample_alias	broker_name	sample_title	nominal_sdev	first_created	bam_ftp	bam_bytes	bam_md5	fastq_file_role	submitted_file_role	bam_file_role
SRR20048334	PRJNA855571	SRP385559	SAMN29514553	SRS13753179	SRX16087088	SRA1451384	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	F143		SINGLE	RNA-Seq	METAGENOMIC	PCR	105420	48949138	SUB11747641	2023-07-15	2023-07-24	Illumina MiSeq sequencing: 16S rRNA-Seq of gut microbiome	human metagenome Raw sequence reads	PRJNA855571	F143	F164.raw.fastq	3968272	5134b8765672828d710740b0316bbed0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/034/SRR20048334/SRR20048334.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR200/034/SRR20048334/SRR20048334.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/034/SRR20048334/SRR20048334.fastq.gz							F164		16S rRNA-Seq of gut microbiome		2023-07-15				GENERATED_FILE		
SRR20048336	PRJNA855571	SRP385559	SAMN29514551	SRS13753177	SRX16087086	SRA1451384	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	F141		SINGLE	RNA-Seq	METAGENOMIC	PCR	77899	35591356	SUB11747641	2023-07-15	2023-07-27	Illumina MiSeq sequencing: 16S rRNA-Seq of gut microbiome	human metagenome Raw sequence reads	PRJNA855571	F141	F159.raw.fastq	4023354	2c9eefd3c791ac9bb6955a06728163b1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/036/SRR20048336/SRR20048336.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR200/036/SRR20048336/SRR20048336.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/036/SRR20048336/SRR20048336.fastq.gz							F159		16S rRNA-Seq of gut microbiome		2023-07-15				GENERATED_FILE		
SRR20048337	PRJNA855571	SRP385559	SAMN29514550	SRS13753176	SRX16087085	SRA1451384	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	F140		SINGLE	RNA-Seq	METAGENOMIC	PCR	127374	58693233	SUB11747641	2023-07-15	2023-07-24	Illumina MiSeq sequencing: 16S rRNA-Seq of gut microbiome	human metagenome Raw sequence reads	PRJNA855571	F140	F158.raw.fastq	5167964	2121fe1a9876a87b474bb2289be05046	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/037/SRR20048337/SRR20048337.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR200/037/SRR20048337/SRR20048337.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/037/SRR20048337/SRR20048337.fastq.gz							F158		16S rRNA-Seq of gut microbiome		2023-07-15				GENERATED_FILE		
SRR20048342	PRJNA855571	SRP385559	SAMN29514546	SRS13753171	SRX16087080	SRA1451384	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	F136		SINGLE	RNA-Seq	METAGENOMIC	PCR	80648	36699795	SUB11747641	2023-07-15	2023-07-24	Illumina MiSeq sequencing: 16S rRNA-Seq of gut microbiome	human metagenome Raw sequence reads	PRJNA855571	F136	F151.raw.fastq	3620407	2d985a2bd5a59020f05cfd38060559fb	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/042/SRR20048342/SRR20048342.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR200/042/SRR20048342/SRR20048342.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/042/SRR20048342/SRR20048342.fastq.gz							F151		16S rRNA-Seq of gut microbiome		2023-07-15				GENERATED_FILE		
SRR20048343	PRJNA855571	SRP385559	SAMN29514545	SRS13753170	SRX16087079	SRA1451384	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	F135		SINGLE	RNA-Seq	METAGENOMIC	PCR	92123	42068967	SUB11747641	2023-07-15	2023-07-24	Illumina MiSeq sequencing: 16S rRNA-Seq of gut microbiome	human metagenome Raw sequence reads	PRJNA855571	F135	F150.raw.fastq	4594368	815c60be1699b98a1446d2f19d3c0be8	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/043/SRR20048343/SRR20048343.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR200/043/SRR20048343/SRR20048343.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/043/SRR20048343/SRR20048343.fastq.gz							F150		16S rRNA-Seq of gut microbiome		2023-07-15				GENERATED_FILE		
SRR20048353	PRJNA855571	SRP385559	SAMN29514537	SRS13753160	SRX16087069	SRA1451384	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	F127		SINGLE	RNA-Seq	METAGENOMIC	PCR	62548	28832522	SUB11747641	2023-07-15	2023-07-24	Illumina MiSeq sequencing: 16S rRNA-Seq of gut microbiome	human metagenome Raw sequence reads	PRJNA855571	F127	F135.raw.fastq	2664548	2cde07d3d0f39f2ce455fdcb6379ac60	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/053/SRR20048353/SRR20048353.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR200/053/SRR20048353/SRR20048353.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/053/SRR20048353/SRR20048353.fastq.gz							F135		16S rRNA-Seq of gut microbiome		2023-07-15				GENERATED_FILE		
SRR20048363	PRJNA855571	SRP385559	SAMN29514528	SRS13753149	SRX16087059	SRA1451384	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	F118		SINGLE	RNA-Seq	METAGENOMIC	PCR	62794	28348468	SUB11747641	2023-07-15	2023-07-24	Illumina MiSeq sequencing: 16S rRNA-Seq of gut microbiome	human metagenome Raw sequence reads	PRJNA855571	F118	F116.raw.fastq	3254577	6e6a7b0bed646859451ca83597e3638c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/063/SRR20048363/SRR20048363.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR200/063/SRR20048363/SRR20048363.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/063/SRR20048363/SRR20048363.fastq.gz							F116		16S rRNA-Seq of gut microbiome		2023-07-15				GENERATED_FILE		
SRR20048369	PRJNA855571	SRP385559	SAMN29514522	SRS13753143	SRX16087053	SRA1451384	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	F112		SINGLE	RNA-Seq	METAGENOMIC	PCR	87617	39863421	SUB11747641	2023-07-15	2023-07-26	Illumina MiSeq sequencing: 16S rRNA-Seq of gut microbiome	human metagenome Raw sequence reads	PRJNA855571	F112	F94.raw.fastq	3889033	61f71adaa14c0b41f7ec177a75ae14c1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/069/SRR20048369/SRR20048369.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR200/069/SRR20048369/SRR20048369.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/069/SRR20048369/SRR20048369.fastq.gz							F94		16S rRNA-Seq of gut microbiome		2023-07-15				GENERATED_FILE		
SRR20048379	PRJNA855571	SRP385559	SAMN29514513	SRS13753134	SRX16087043	SRA1451384	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	F103		SINGLE	RNA-Seq	METAGENOMIC	PCR	106081	49060334	SUB11747641	2023-07-15	2023-07-24	Illumina MiSeq sequencing: 16S rRNA-Seq of gut microbiome	human metagenome Raw sequence reads	PRJNA855571	F103	F58.raw.fastq	4187421	9b081e50596ff66c7f1769ea3bdaa64b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/079/SRR20048379/SRR20048379.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR200/079/SRR20048379/SRR20048379.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/079/SRR20048379/SRR20048379.fastq.gz							F58		16S rRNA-Seq of gut microbiome		2023-07-15				GENERATED_FILE		
SRR20048382	PRJNA855571	SRP385559	SAMN29514510	SRS13753131	SRX16087040	SRA1451384	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	F100		SINGLE	RNA-Seq	METAGENOMIC	PCR	112797	52044699	SUB11747641	2023-07-15	2023-07-25	Illumina MiSeq sequencing: 16S rRNA-Seq of gut microbiome	human metagenome Raw sequence reads	PRJNA855571	F100	F55.raw.fastq	4796758	f2a16d9e628f7b782c76773b540537de	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/082/SRR20048382/SRR20048382.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR200/082/SRR20048382/SRR20048382.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/082/SRR20048382/SRR20048382.fastq.gz							F55		16S rRNA-Seq of gut microbiome		2023-07-15				GENERATED_FILE		
