run_accession	study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	read_count	base_count	center_name	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_bytes	submitted_md5	submitted_ftp	submitted_aspera	submitted_galaxy	submitted_format	sample_alias	broker_name	sample_title	nominal_sdev	first_created	bam_ftp	bam_bytes	bam_md5	fastq_file_role	submitted_file_role	bam_file_role
SRR8061719	PRJNA496408	SRP165827	SAMN10240677	SRS3938422	SRX4891287	SRA794712	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	AD29		PAIRED	AMPLICON	GENOMIC	PCR	37620	22645790	SUB4631918	2019-11-16	2019-11-16	Illumina MiSeq sequencing: Human feces	human gut metagenome Metagenome	PRJNA496408	AD29	AD29_2.fastq	5275847;6978299	cbcea5c71e99ed729cd40d674ce028b8;93fe801013ab3792de66e671972da678	ftp.sra.ebi.ac.uk/vol1/fastq/SRR806/009/SRR8061719/SRR8061719_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR806/009/SRR8061719/SRR8061719_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR806/009/SRR8061719/SRR8061719_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR806/009/SRR8061719/SRR8061719_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR806/009/SRR8061719/SRR8061719_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR806/009/SRR8061719/SRR8061719_2.fastq.gz							AD01		AD		2019-11-16				GENERATED_FILE;GENERATED_FILE		
SRR8061720	PRJNA496408	SRP165827	SAMN10240677	SRS3938422	SRX4891286	SRA794712	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	AD28		PAIRED	AMPLICON	GENOMIC	PCR	43810	26361565	SUB4631918	2019-11-16	2019-11-16	Illumina MiSeq sequencing: Human feces	human gut metagenome Metagenome	PRJNA496408	AD28	AD28_2.fastq	6271569;7879596	2629d8e1ec4c07a5cf411c51efd13b22;d18a974665125b41e022b251f7060aa4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR806/000/SRR8061720/SRR8061720_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR806/000/SRR8061720/SRR8061720_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR806/000/SRR8061720/SRR8061720_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR806/000/SRR8061720/SRR8061720_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR806/000/SRR8061720/SRR8061720_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR806/000/SRR8061720/SRR8061720_2.fastq.gz							AD01		AD		2019-11-16				GENERATED_FILE;GENERATED_FILE		
SRR8061721	PRJNA496408	SRP165827	SAMN10240677	SRS3938422	SRX4891285	SRA794712	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	AD27		PAIRED	AMPLICON	GENOMIC	PCR	41090	24711752	SUB4631918	2019-11-16	2019-11-16	Illumina MiSeq sequencing: Human feces	human gut metagenome Metagenome	PRJNA496408	AD27	AD27_1.fastq	5680943;7101002	14a32624f946676c6b327decf339d613;eea6d73b1fcb25506b6ebefd13579947	ftp.sra.ebi.ac.uk/vol1/fastq/SRR806/001/SRR8061721/SRR8061721_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR806/001/SRR8061721/SRR8061721_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR806/001/SRR8061721/SRR8061721_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR806/001/SRR8061721/SRR8061721_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR806/001/SRR8061721/SRR8061721_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR806/001/SRR8061721/SRR8061721_2.fastq.gz							AD01		AD		2019-11-16				GENERATED_FILE;GENERATED_FILE		
SRR8061728	PRJNA496408	SRP165827	SAMN10240677	SRS3938422	SRX4891278	SRA794712	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	AD04		PAIRED	AMPLICON	GENOMIC	PCR	50307	30278082	SUB4631918	2019-11-16	2019-11-16	Illumina MiSeq sequencing: Human feces	human gut metagenome Metagenome	PRJNA496408	AD04	AD04_2.fastq	7156154;9308414	35467dd7b0f14b684469993cd542d015;27c838c34db8547da4e5d87b16325e40	ftp.sra.ebi.ac.uk/vol1/fastq/SRR806/008/SRR8061728/SRR8061728_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR806/008/SRR8061728/SRR8061728_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR806/008/SRR8061728/SRR8061728_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR806/008/SRR8061728/SRR8061728_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR806/008/SRR8061728/SRR8061728_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR806/008/SRR8061728/SRR8061728_2.fastq.gz							AD01		AD		2019-11-16				GENERATED_FILE;GENERATED_FILE		
SRR8061729	PRJNA496408	SRP165827	SAMN10240677	SRS3938422	SRX4891277	SRA794712	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	AD01		PAIRED	AMPLICON	GENOMIC	PCR	51599	31048775	SUB4631918	2019-11-16	2019-11-16	Illumina MiSeq sequencing: Human feces	human gut metagenome Metagenome	PRJNA496408	AD01	AD01_2.fastq	7375472;10530052	9738c9928fc0e5f58b72bb1861b443c5;412a76d511fe7d2b583f4f4e36cf93bd	ftp.sra.ebi.ac.uk/vol1/fastq/SRR806/009/SRR8061729/SRR8061729_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR806/009/SRR8061729/SRR8061729_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR806/009/SRR8061729/SRR8061729_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR806/009/SRR8061729/SRR8061729_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR806/009/SRR8061729/SRR8061729_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR806/009/SRR8061729/SRR8061729_2.fastq.gz							AD01		AD		2019-11-16				GENERATED_FILE;GENERATED_FILE		
SRR8061732	PRJNA496408	SRP165827	SAMN10240677	SRS3938422	SRX4891274	SRA794712	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	AD08		PAIRED	AMPLICON	GENOMIC	PCR	43796	26363878	SUB4631918	2019-11-16	2019-11-16	Illumina MiSeq sequencing: Human feces	human gut metagenome Metagenome	PRJNA496408	AD08	AD08_1.fastq	5811804;7790159	b594c480258ccf0f57097a666e17946e;d4ca8abaf82dbc1e31bbff65a03df7a4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR806/002/SRR8061732/SRR8061732_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR806/002/SRR8061732/SRR8061732_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR806/002/SRR8061732/SRR8061732_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR806/002/SRR8061732/SRR8061732_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR806/002/SRR8061732/SRR8061732_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR806/002/SRR8061732/SRR8061732_2.fastq.gz							AD01		AD		2019-11-16				GENERATED_FILE;GENERATED_FILE		
SRR8061733	PRJNA496408	SRP165827	SAMN10240677	SRS3938422	SRX4891273	SRA794712	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	AD05		PAIRED	AMPLICON	GENOMIC	PCR	40056	24110169	SUB4631918	2019-11-16	2019-11-16	Illumina MiSeq sequencing: Human feces	human gut metagenome Metagenome	PRJNA496408	AD05	AD05_2.fastq	5684750;7372901	e4480f01483858b47b4f231d2a287a2e;59b1ec9f03d54b871a2de9f9179b1ce3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR806/003/SRR8061733/SRR8061733_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR806/003/SRR8061733/SRR8061733_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR806/003/SRR8061733/SRR8061733_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR806/003/SRR8061733/SRR8061733_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR806/003/SRR8061733/SRR8061733_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR806/003/SRR8061733/SRR8061733_2.fastq.gz							AD01		AD		2019-11-16				GENERATED_FILE;GENERATED_FILE		
SRR8061717	PRJNA496408	SRP165827	SAMN10240677	SRS3938422	SRX4891289	SRA794712	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	AD23		PAIRED	AMPLICON	GENOMIC	PCR	37964	22832010	SUB4631918	2019-11-16	2019-11-16	Illumina MiSeq sequencing: Human feces	human gut metagenome Metagenome	PRJNA496408	AD23	AD23_1.fastq	5674336;7206417	d1edf03857d7e3c8e32c641b1ed014a7;608f9298585dca1ca4dd47f5aa1e4b51	ftp.sra.ebi.ac.uk/vol1/fastq/SRR806/007/SRR8061717/SRR8061717_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR806/007/SRR8061717/SRR8061717_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR806/007/SRR8061717/SRR8061717_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR806/007/SRR8061717/SRR8061717_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR806/007/SRR8061717/SRR8061717_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR806/007/SRR8061717/SRR8061717_2.fastq.gz							AD01		AD		2019-11-16				GENERATED_FILE;GENERATED_FILE		
SRR8061743	PRJNA496408	SRP165827	SAMN10240677	SRS3938422	SRX4891263	SRA794712	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	AD34		PAIRED	AMPLICON	GENOMIC	PCR	53095	31960748	SUB4631918	2019-11-16	2019-11-16	Illumina MiSeq sequencing: Human feces	human gut metagenome Metagenome	PRJNA496408	AD34	AD34_1.fastq	7343399;9578368	28fe8b7c8566d5a1dc4b31a5e41cf3d0;0f1dda487e4efab03318a5f29a9e32ca	ftp.sra.ebi.ac.uk/vol1/fastq/SRR806/003/SRR8061743/SRR8061743_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR806/003/SRR8061743/SRR8061743_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR806/003/SRR8061743/SRR8061743_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR806/003/SRR8061743/SRR8061743_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR806/003/SRR8061743/SRR8061743_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR806/003/SRR8061743/SRR8061743_2.fastq.gz							AD01		AD		2019-11-16				GENERATED_FILE;GENERATED_FILE		
SRR8061723	PRJNA496408	SRP165827	SAMN10240677	SRS3938422	SRX4891283	SRA794712	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	AD31		PAIRED	AMPLICON	GENOMIC	PCR	63254	38074164	SUB4631918	2019-11-16	2019-11-16	Illumina MiSeq sequencing: Human feces	human gut metagenome Metagenome	PRJNA496408	AD31	AD31_2.fastq	9124332;11694119	a0f815e2539551936d2e2ca7033ac5c3;90f689864e3f494c84fa3d6246b0c255	ftp.sra.ebi.ac.uk/vol1/fastq/SRR806/003/SRR8061723/SRR8061723_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR806/003/SRR8061723/SRR8061723_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR806/003/SRR8061723/SRR8061723_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR806/003/SRR8061723/SRR8061723_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR806/003/SRR8061723/SRR8061723_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR806/003/SRR8061723/SRR8061723_2.fastq.gz							AD01		AD		2019-11-16				GENERATED_FILE;GENERATED_FILE		
