run_accession	study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	read_count	base_count	center_name	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_bytes	submitted_md5	submitted_ftp	submitted_aspera	submitted_galaxy	submitted_format	sample_alias	broker_name	sample_title	nominal_sdev	first_created	bam_ftp	bam_bytes	bam_md5	fastq_file_role	submitted_file_role	bam_file_role
SRR13083023	PRJNA679347	SRP293166	SAMN16830122	SRS7736661	SRX9529763	SRA1161214	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	B0728002		PAIRED	AMPLICON	METAGENOMIC	PCR	208123	124873800	SUB8414039	2021-09-15	2021-09-15	Illumina MiSeq sequencing: 16S rRNA gene sequencing of human feces	16S rRNA gene sequencing of human feces	PRJNA679347	B0728002	AJ8MY_PG0980_01_a_14_L001_R1.fastq	25025553;30277056	6b276aeff2fc265f7ae22a5c46216659;faf68e2df9d6f6f0f9a4d51cdea6a2bc	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/023/SRR13083023/SRR13083023_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/023/SRR13083023/SRR13083023_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR130/023/SRR13083023/SRR13083023_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR130/023/SRR13083023/SRR13083023_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/023/SRR13083023/SRR13083023_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/023/SRR13083023/SRR13083023_2.fastq.gz							AJ8MY_PG0980_01_a_14_L001		MIMARKS Survey related sample from human gut metagenome		2021-09-15				GENERATED_FILE;GENERATED_FILE		
SRR13083025	PRJNA679347	SRP293166	SAMN16830120	SRS7736659	SRX9529761	SRA1161214	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	B0727007		PAIRED	AMPLICON	METAGENOMIC	PCR	86683	52009800	SUB8414039	2021-09-15	2021-09-15	Illumina MiSeq sequencing: 16S rRNA gene sequencing of human feces	16S rRNA gene sequencing of human feces	PRJNA679347	B0727007	AJ8MY_PG0980_01_a_12_L001_R1.fastq	10867148;12106633	ef6a8910283ebce54f7917ad7095dcb7;8bfdd29bf5d6505f4c7c93775a66fe8d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/025/SRR13083025/SRR13083025_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/025/SRR13083025/SRR13083025_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR130/025/SRR13083025/SRR13083025_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR130/025/SRR13083025/SRR13083025_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/025/SRR13083025/SRR13083025_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/025/SRR13083025/SRR13083025_2.fastq.gz							AJ8MY_PG0980_01_a_12_L001		MIMARKS Survey related sample from human gut metagenome		2021-09-15				GENERATED_FILE;GENERATED_FILE		
SRR13083028	PRJNA679347	SRP293166	SAMN16830155	SRS7736657	SRX9529758	SRA1161214	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	A0803002		PAIRED	AMPLICON	METAGENOMIC	PCR	184688	110812800	SUB8414039	2021-09-15	2021-09-15	Illumina MiSeq sequencing: 16S rRNA gene sequencing of human feces	16S rRNA gene sequencing of human feces	PRJNA679347	A0803002	AJ8MY_PG0980_01_a_74_L001_R1.fastq	23855588;27041262	db6d86e752559f4fc235d5b43793131b;5f660d972efe7f444d5fbbca69178cdb	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/028/SRR13083028/SRR13083028_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/028/SRR13083028/SRR13083028_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR130/028/SRR13083028/SRR13083028_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR130/028/SRR13083028/SRR13083028_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/028/SRR13083028/SRR13083028_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/028/SRR13083028/SRR13083028_2.fastq.gz							AJ8MY_PG0980_01_a_74_L001		MIMARKS Survey related sample from human gut metagenome		2021-09-15				GENERATED_FILE;GENERATED_FILE		
SRR13083029	PRJNA679347	SRP293166	SAMN16830154	SRS7736656	SRX9529757	SRA1161214	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	A0731001		PAIRED	AMPLICON	METAGENOMIC	PCR	230532	138319200	SUB8414039	2021-09-15	2021-09-15	Illumina MiSeq sequencing: 16S rRNA gene sequencing of human feces	16S rRNA gene sequencing of human feces	PRJNA679347	A0731001	AJ8MY_PG0980_01_a_73_L001_R1.fastq	28572013;32807696	f9c205cfa0af7092345edbbd9c25d59f;dc11650b40c34e1b98dd3a0cd67ef5c8	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/029/SRR13083029/SRR13083029_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/029/SRR13083029/SRR13083029_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR130/029/SRR13083029/SRR13083029_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR130/029/SRR13083029/SRR13083029_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/029/SRR13083029/SRR13083029_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/029/SRR13083029/SRR13083029_2.fastq.gz							AJ8MY_PG0980_01_a_73_L001		MIMARKS Survey related sample from human gut metagenome		2021-09-15				GENERATED_FILE;GENERATED_FILE		
SRR13083031	PRJNA679347	SRP293166	SAMN16830117	SRS7736651	SRX9529755	SRA1161214	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	B0727003		PAIRED	AMPLICON	METAGENOMIC	PCR	87310	52386000	SUB8414039	2021-09-15	2021-09-15	Illumina MiSeq sequencing: 16S rRNA gene sequencing of human feces	16S rRNA gene sequencing of human feces	PRJNA679347	B0727003	AJ8MY_PG0980_01_a_09_L001_R1.fastq	10878001;12772292	71c682b515c50fca578c48181bfcb973;97630d38acbda1f864a76798c834627a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/031/SRR13083031/SRR13083031_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/031/SRR13083031/SRR13083031_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR130/031/SRR13083031/SRR13083031_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR130/031/SRR13083031/SRR13083031_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/031/SRR13083031/SRR13083031_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/031/SRR13083031/SRR13083031_2.fastq.gz							AJ8MY_PG0980_01_a_09_L001		MIMARKS Survey related sample from human gut metagenome		2021-09-15				GENERATED_FILE;GENERATED_FILE		
SRR13083032	PRJNA679347	SRP293166	SAMN16830152	SRS7736653	SRX9529754	SRA1161214	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	A0729001		PAIRED	AMPLICON	METAGENOMIC	PCR	186357	111814200	SUB8414039	2021-09-15	2021-09-15	Illumina MiSeq sequencing: 16S rRNA gene sequencing of human feces	16S rRNA gene sequencing of human feces	PRJNA679347	A0729001	AJ8MY_PG0980_01_a_71_L001_R1.fastq	23138937;26853008	222ccddeb001074fec324a19e4bcff17;7679d12816325c61b0703792644ec62c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/032/SRR13083032/SRR13083032_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/032/SRR13083032/SRR13083032_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR130/032/SRR13083032/SRR13083032_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR130/032/SRR13083032/SRR13083032_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/032/SRR13083032/SRR13083032_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/032/SRR13083032/SRR13083032_2.fastq.gz							AJ8MY_PG0980_01_a_71_L001		MIMARKS Survey related sample from human gut metagenome		2021-09-15				GENERATED_FILE;GENERATED_FILE		
SRR13083036	PRJNA679347	SRP293166	SAMN16830148	SRS7736648	SRX9529750	SRA1161214	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	B0804008		PAIRED	AMPLICON	METAGENOMIC	PCR	57844	34706400	SUB8414039	2021-09-15	2021-09-15	Illumina MiSeq sequencing: 16S rRNA gene sequencing of human feces	16S rRNA gene sequencing of human feces	PRJNA679347	B0804008	AJ8MY_PG0980_01_a_40_L001_R1.fastq	7393899;8429350	b28f75f68883b33f64621fb739d74f70;5eab4c6c4df92120dd6ee7d55b5f9def	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/036/SRR13083036/SRR13083036_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/036/SRR13083036/SRR13083036_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR130/036/SRR13083036/SRR13083036_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR130/036/SRR13083036/SRR13083036_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/036/SRR13083036/SRR13083036_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/036/SRR13083036/SRR13083036_2.fastq.gz							AJ8MY_PG0980_01_a_40_L001		MIMARKS Survey related sample from human gut metagenome		2021-09-15				GENERATED_FILE;GENERATED_FILE		
SRR13083038	PRJNA679347	SRP293166	SAMN16830146	SRS7736646	SRX9529748	SRA1161214	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	B0804005		PAIRED	AMPLICON	METAGENOMIC	PCR	197252	118351200	SUB8414039	2021-09-15	2021-09-15	Illumina MiSeq sequencing: 16S rRNA gene sequencing of human feces	16S rRNA gene sequencing of human feces	PRJNA679347	B0804005	AJ8MY_PG0980_01_a_38_L001_R1.fastq	24240049;27575232	a63881841f1df37f6f9b1deac45738bc;9c518890b25d51e62d08acd74895e787	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/038/SRR13083038/SRR13083038_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/038/SRR13083038/SRR13083038_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR130/038/SRR13083038/SRR13083038_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR130/038/SRR13083038/SRR13083038_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/038/SRR13083038/SRR13083038_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/038/SRR13083038/SRR13083038_2.fastq.gz							AJ8MY_PG0980_01_a_38_L001		MIMARKS Survey related sample from human gut metagenome		2021-09-15				GENERATED_FILE;GENERATED_FILE		
SRR13083039	PRJNA679347	SRP293166	SAMN16830145	SRS7736645	SRX9529747	SRA1161214	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	B0804003		PAIRED	AMPLICON	METAGENOMIC	PCR	129419	77651400	SUB8414039	2021-09-15	2021-09-15	Illumina MiSeq sequencing: 16S rRNA gene sequencing of human feces	16S rRNA gene sequencing of human feces	PRJNA679347	B0804003	AJ8MY_PG0980_01_a_37_L001_R1.fastq	16195046;18819486	e865e77c1136626103fcbe04e8ac364f;de0eb212bf25d50186ff9ff6b3f98a43	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/039/SRR13083039/SRR13083039_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/039/SRR13083039/SRR13083039_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR130/039/SRR13083039/SRR13083039_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR130/039/SRR13083039/SRR13083039_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/039/SRR13083039/SRR13083039_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/039/SRR13083039/SRR13083039_2.fastq.gz							AJ8MY_PG0980_01_a_37_L001		MIMARKS Survey related sample from human gut metagenome		2021-09-15				GENERATED_FILE;GENERATED_FILE		
SRR13083045	PRJNA679347	SRP293166	SAMN16830140	SRS7736639	SRX9529741	SRA1161214	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	B0802002		PAIRED	AMPLICON	METAGENOMIC	PCR	52748	31648800	SUB8414039	2021-09-15	2021-09-15	Illumina MiSeq sequencing: 16S rRNA gene sequencing of human feces	16S rRNA gene sequencing of human feces	PRJNA679347	B0802002	AJ8MY_PG0980_01_a_32_L001_R1.fastq	6876331;7847515	756831030fa9ec8eabb8a3a3244c7150;15994302dc8ff8e88eb7355610696641	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/045/SRR13083045/SRR13083045_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/045/SRR13083045/SRR13083045_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR130/045/SRR13083045/SRR13083045_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR130/045/SRR13083045/SRR13083045_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/045/SRR13083045/SRR13083045_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/045/SRR13083045/SRR13083045_2.fastq.gz							AJ8MY_PG0980_01_a_32_L001		MIMARKS Survey related sample from human gut metagenome		2021-09-15				GENERATED_FILE;GENERATED_FILE		
