run_accession	study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	read_count	base_count	center_name	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_bytes	submitted_md5	submitted_ftp	submitted_aspera	submitted_galaxy	submitted_format	sample_alias	broker_name	sample_title	nominal_sdev	first_created	bam_ftp	bam_bytes	bam_md5	fastq_file_role	submitted_file_role	bam_file_role
SRR9671447	PRJNA554111	SRP214293	SAMN12256086	SRS5086790	SRX6431995	SRA919997	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	L-59		PAIRED	OTHER	METAGENOMIC	other	36902	22215004	SUB5937627	2019-07-12	2019-07-12	Illumina MiSeq sequencing: fece59	The raw reads of gut Microbiota in Patients with Alzheimer's Disease and normal people	PRJNA554111	L-59	raw.split.CON16.1.fq	3329482;4638609	f6691299d97553fa9c76a498cc9dfb76;a310184295439a4c822104162498a07b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR967/007/SRR9671447/SRR9671447_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR967/007/SRR9671447/SRR9671447_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR967/007/SRR9671447/SRR9671447_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR967/007/SRR9671447/SRR9671447_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR967/007/SRR9671447/SRR9671447_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR967/007/SRR9671447/SRR9671447_2.fastq.gz							CON16		Metagenome or environmental sample from human gut metagenome		2019-07-12				GENERATED_FILE;GENERATED_FILE		
SRR9671446	PRJNA554111	SRP214293	SAMN12256087	SRS5086791	SRX6431996	SRA919997	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	L-60		PAIRED	OTHER	METAGENOMIC	other	42847	25793894	SUB5937627	2019-07-12	2019-07-12	Illumina MiSeq sequencing: fece60	The raw reads of gut Microbiota in Patients with Alzheimer's Disease and normal people	PRJNA554111	L-60	raw.split.CON17.1.fq	3594210;5110826	35206843d7485dde3498dd13b3c7c6b9;23137b62b547daadf10ba0b8c51debdd	ftp.sra.ebi.ac.uk/vol1/fastq/SRR967/006/SRR9671446/SRR9671446_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR967/006/SRR9671446/SRR9671446_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR967/006/SRR9671446/SRR9671446_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR967/006/SRR9671446/SRR9671446_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR967/006/SRR9671446/SRR9671446_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR967/006/SRR9671446/SRR9671446_2.fastq.gz							CON17		Metagenome or environmental sample from human gut metagenome		2019-07-12				GENERATED_FILE;GENERATED_FILE		
SRR9671451	PRJNA554111	SRP214293	SAMN12256082	SRS5086786	SRX6431991	SRA919997	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	L-55		PAIRED	OTHER	METAGENOMIC	other	38340	23080680	SUB5937627	2019-07-12	2019-07-12	Illumina MiSeq sequencing: fece55	The raw reads of gut Microbiota in Patients with Alzheimer's Disease and normal people	PRJNA554111	L-55	raw.split.CON12.1.fq	3424170;5085872	f948dc6cfb1f1e4ba9766ff6609b2e69;371bd495264f8387157f32bcbd5d488b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR967/001/SRR9671451/SRR9671451_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR967/001/SRR9671451/SRR9671451_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR967/001/SRR9671451/SRR9671451_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR967/001/SRR9671451/SRR9671451_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR967/001/SRR9671451/SRR9671451_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR967/001/SRR9671451/SRR9671451_2.fastq.gz							CON12		Metagenome or environmental sample from human gut metagenome		2019-07-12				GENERATED_FILE;GENERATED_FILE		
SRR9671448	PRJNA554111	SRP214293	SAMN12256085	SRS5086789	SRX6431994	SRA919997	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	L-58		PAIRED	OTHER	METAGENOMIC	other	36933	22233666	SUB5937627	2019-07-12	2019-07-12	Illumina MiSeq sequencing: fece58	The raw reads of gut Microbiota in Patients with Alzheimer's Disease and normal people	PRJNA554111	L-58	raw.split.CON15.1.fq	3387977;4684285	c4437d0cdc16990735130bfcafcab50d;ba9c4b65caece5acb7b424deffca4707	ftp.sra.ebi.ac.uk/vol1/fastq/SRR967/008/SRR9671448/SRR9671448_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR967/008/SRR9671448/SRR9671448_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR967/008/SRR9671448/SRR9671448_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR967/008/SRR9671448/SRR9671448_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR967/008/SRR9671448/SRR9671448_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR967/008/SRR9671448/SRR9671448_2.fastq.gz							CON15		Metagenome or environmental sample from human gut metagenome		2019-07-12				GENERATED_FILE;GENERATED_FILE		
SRR9671460	PRJNA554111	SRP214293	SAMN12256070	SRS5086777	SRX6431982	SRA919997	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	L-43		PAIRED	OTHER	METAGENOMIC	other	42600	25645200	SUB5937627	2019-07-12	2019-07-12	Illumina MiSeq sequencing: fece43	The raw reads of gut Microbiota in Patients with Alzheimer's Disease and normal people	PRJNA554111	L-43	raw.split.AD43.1.fq	4070937;5518446	b06947ccfc80e29bf738fb2b842a373d;515ca70860d410b063b3d0d5edb76f26	ftp.sra.ebi.ac.uk/vol1/fastq/SRR967/000/SRR9671460/SRR9671460_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR967/000/SRR9671460/SRR9671460_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR967/000/SRR9671460/SRR9671460_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR967/000/SRR9671460/SRR9671460_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR967/000/SRR9671460/SRR9671460_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR967/000/SRR9671460/SRR9671460_2.fastq.gz							AD43		Metagenome or environmental sample from human gut metagenome		2019-07-12				GENERATED_FILE;GENERATED_FILE		
SRR9671452	PRJNA554111	SRP214293	SAMN12256081	SRS5086785	SRX6431990	SRA919997	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	L-54		PAIRED	OTHER	METAGENOMIC	other	38509	23182418	SUB5937627	2019-07-12	2019-07-12	Illumina MiSeq sequencing: fece54	The raw reads of gut Microbiota in Patients with Alzheimer's Disease and normal people	PRJNA554111	L-54	raw.split.CON11.1.fq	3161288;4832980	da2a4701cfecfb3343ab5c088d7b7912;e948b4909de7e2e602c2dc0083654f31	ftp.sra.ebi.ac.uk/vol1/fastq/SRR967/002/SRR9671452/SRR9671452_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR967/002/SRR9671452/SRR9671452_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR967/002/SRR9671452/SRR9671452_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR967/002/SRR9671452/SRR9671452_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR967/002/SRR9671452/SRR9671452_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR967/002/SRR9671452/SRR9671452_2.fastq.gz							CON11		Metagenome or environmental sample from human gut metagenome		2019-07-12				GENERATED_FILE;GENERATED_FILE		
SRR9671449	PRJNA554111	SRP214293	SAMN12256084	SRS5086788	SRX6431993	SRA919997	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	L-57		PAIRED	OTHER	METAGENOMIC	other	43241	26031082	SUB5937627	2019-07-12	2019-07-12	Illumina MiSeq sequencing: fece57	The raw reads of gut Microbiota in Patients with Alzheimer's Disease and normal people	PRJNA554111	L-57	raw.split.CON14.1.fq	3836067;5791431	a994c9d52df7c7e296e3f7a2abfeff49;a791b5a06aae7bd6d68a133e8fc5b809	ftp.sra.ebi.ac.uk/vol1/fastq/SRR967/009/SRR9671449/SRR9671449_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR967/009/SRR9671449/SRR9671449_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR967/009/SRR9671449/SRR9671449_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR967/009/SRR9671449/SRR9671449_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR967/009/SRR9671449/SRR9671449_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR967/009/SRR9671449/SRR9671449_2.fastq.gz							CON14		Metagenome or environmental sample from human gut metagenome		2019-07-12				GENERATED_FILE;GENERATED_FILE		
SRR9671468	PRJNA554111	SRP214293	SAMN12256105	SRS5086769	SRX6431974	SRA919997	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	L-78		PAIRED	OTHER	METAGENOMIC	other	36075	21717150	SUB5937627	2019-07-12	2019-07-12	Illumina MiSeq sequencing: fece78	The raw reads of gut Microbiota in Patients with Alzheimer's Disease and normal people	PRJNA554111	L-78	raw.split.CON35.1.fq	3279505;4662666	755dff1bca13665889180b3661785b4c;b72d0808865a313f3bc1feb75a6b290b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR967/008/SRR9671468/SRR9671468_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR967/008/SRR9671468/SRR9671468_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR967/008/SRR9671468/SRR9671468_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR967/008/SRR9671468/SRR9671468_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR967/008/SRR9671468/SRR9671468_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR967/008/SRR9671468/SRR9671468_2.fastq.gz							CON35		Metagenome or environmental sample from human gut metagenome		2019-07-12				GENERATED_FILE;GENERATED_FILE		
SRR9671453	PRJNA554111	SRP214293	SAMN12256080	SRS5086784	SRX6431989	SRA919997	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	L-53		PAIRED	OTHER	METAGENOMIC	other	43820	26379640	SUB5937627	2019-07-12	2019-07-12	Illumina MiSeq sequencing: fece53	The raw reads of gut Microbiota in Patients with Alzheimer's Disease and normal people	PRJNA554111	L-53	raw.split.CON10.1.fq	4089469;5840988	fb28e526de06061479b68bb8484e416f;b3ecb5fe79175aa7c1f8bd779f075643	ftp.sra.ebi.ac.uk/vol1/fastq/SRR967/003/SRR9671453/SRR9671453_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR967/003/SRR9671453/SRR9671453_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR967/003/SRR9671453/SRR9671453_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR967/003/SRR9671453/SRR9671453_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR967/003/SRR9671453/SRR9671453_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR967/003/SRR9671453/SRR9671453_2.fastq.gz							CON10		Metagenome or environmental sample from human gut metagenome		2019-07-12				GENERATED_FILE;GENERATED_FILE		
SRR9671450	PRJNA554111	SRP214293	SAMN12256083	SRS5086787	SRX6431992	SRA919997	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	L-56		PAIRED	OTHER	METAGENOMIC	other	41333	24882466	SUB5937627	2019-07-12	2019-07-12	Illumina MiSeq sequencing: fece56	The raw reads of gut Microbiota in Patients with Alzheimer's Disease and normal people	PRJNA554111	L-56	raw.split.CON13.1.fq	3770943;5389693	e751a5b208e3fd865fec681d63de0481;59f72f8bbea6b74c743e85a16815a282	ftp.sra.ebi.ac.uk/vol1/fastq/SRR967/000/SRR9671450/SRR9671450_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR967/000/SRR9671450/SRR9671450_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR967/000/SRR9671450/SRR9671450_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR967/000/SRR9671450/SRR9671450_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR967/000/SRR9671450/SRR9671450_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR967/000/SRR9671450/SRR9671450_2.fastq.gz							CON13		Metagenome or environmental sample from human gut metagenome		2019-07-12				GENERATED_FILE;GENERATED_FILE		
