run_accession	study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	read_count	base_count	center_name	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_bytes	submitted_md5	submitted_ftp	submitted_aspera	submitted_galaxy	submitted_format	sample_alias	broker_name	sample_title	nominal_sdev	first_created	bam_ftp	bam_bytes	bam_md5	fastq_file_role	submitted_file_role	bam_file_role
ERR15003722	PRJEB79944	ERP164023	SAMEA118335924	ERS24550605	ERX14407691	ERA33133718	408170	human gut metagenome	ILLUMINA	Illumina NovaSeq 6000	NA		PAIRED	WGS	METAGENOMIC	RANDOM	24175104	3564772281	Centre of Host Microbiome Interaction	2025-05-21	2025-05-21	Illumina NovaSeq 6000 sequencing	Gut and oral microbiomes to investigate the oral-gut-brain axis on the pathophysiology of Parkinson's Disease patients	53e7d904-96a7-4098-8eea-909c4f82549a	ena-EXPERIMENT-TAB-20-05-2025-23:07:32:009-203107	ena-RUN-TAB-20-05-2025-23:07:32:009-203108	889362985;952013645	23e458b59c9c3c121477326825866ffc;2db92e08ae3644ec07f9edd5854fe00c	ftp.sra.ebi.ac.uk/vol1/fastq/ERR150/022/ERR15003722/ERR15003722_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR150/022/ERR15003722/ERR15003722_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR150/022/ERR15003722/ERR15003722_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR150/022/ERR15003722/ERR15003722_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR150/022/ERR15003722/ERR15003722_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR150/022/ERR15003722/ERR15003722_2.fastq.gz	989996389;1063271492	aaf71b911ccff6f8b9a34853699529ec;bd40f1c32e79665f79419c36d93875c7	ftp.sra.ebi.ac.uk/vol1/run/ERR150/ERR15003722/805G_S25_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR150/ERR15003722/805G_S25_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR150/ERR15003722/805G_S25_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR150/ERR15003722/805G_S25_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR150/ERR15003722/805G_S25_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR150/ERR15003722/805G_S25_R2_001.fastq.gz	FASTQ;FASTQ	805G		805G		2025-05-20	ftp.sra.ebi.ac.uk/vol1/err/ERR150/022/ERR15003722/ERR15003722.bam	1777512699	2bdabd5da86c8c23fd19f73e6510574c	GENERATED_FILE;GENERATED_FILE	SUBMISSION_FILE;SUBMISSION_FILE	ARCHIVAL_FILE
ERR15003724	PRJEB79944	ERP164023	SAMEA118335926	ERS24550607	ERX14407693	ERA33133718	408170	human gut metagenome	ILLUMINA	Illumina NovaSeq 6000	NA		PAIRED	WGS	METAGENOMIC	RANDOM	90044976	13148622272	Centre of Host Microbiome Interaction	2025-05-21	2025-05-21	Illumina NovaSeq 6000 sequencing	Gut and oral microbiomes to investigate the oral-gut-brain axis on the pathophysiology of Parkinson's Disease patients	53e7d904-96a7-4098-8eea-909c4f82549a	ena-EXPERIMENT-TAB-20-05-2025-23:07:32:009-203111	ena-RUN-TAB-20-05-2025-23:07:32:009-203112	3360386702;3389931703	cbad8739d73c98afcd6c66eafb3108f6;b25281125110860da4f58358b6f5d5f6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR150/024/ERR15003724/ERR15003724_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR150/024/ERR15003724/ERR15003724_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR150/024/ERR15003724/ERR15003724_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR150/024/ERR15003724/ERR15003724_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR150/024/ERR15003724/ERR15003724_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR150/024/ERR15003724/ERR15003724_2.fastq.gz	3708127474;3747952169	3eefbf2ccda9c1ed0f2cc61ddbac7c4f;9142feab55709747082d046810af069d	ftp.sra.ebi.ac.uk/vol1/run/ERR150/ERR15003724/321G_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR150/ERR15003724/321G_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR150/ERR15003724/321G_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR150/ERR15003724/321G_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR150/ERR15003724/321G_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR150/ERR15003724/321G_R2_001.fastq.gz	FASTQ;FASTQ	321G		321G		2025-05-20	ftp.sra.ebi.ac.uk/vol1/err/ERR150/024/ERR15003724/ERR15003724.bam	6472133883	97eaf756eee20cc14ee3fbd6ac70a946	GENERATED_FILE;GENERATED_FILE	SUBMISSION_FILE;SUBMISSION_FILE	ARCHIVAL_FILE
ERR15003725	PRJEB79944	ERP164023	SAMEA118335927	ERS24550608	ERX14407694	ERA33133718	408170	human gut metagenome	ILLUMINA	Illumina NovaSeq 6000	NA		PAIRED	WGS	METAGENOMIC	RANDOM	42531132	6102112345	Centre of Host Microbiome Interaction	2025-05-21	2025-05-21	Illumina NovaSeq 6000 sequencing	Gut and oral microbiomes to investigate the oral-gut-brain axis on the pathophysiology of Parkinson's Disease patients	53e7d904-96a7-4098-8eea-909c4f82549a	ena-EXPERIMENT-TAB-20-05-2025-23:07:32:010-203113	ena-RUN-TAB-20-05-2025-23:07:32:010-203114	1560417579;1612944225	73bf51eb3a7a3804a9075b81aad270f6;63c2785402e6bfb65a6f1a3395d4c3d1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR150/025/ERR15003725/ERR15003725_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR150/025/ERR15003725/ERR15003725_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR150/025/ERR15003725/ERR15003725_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR150/025/ERR15003725/ERR15003725_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR150/025/ERR15003725/ERR15003725_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR150/025/ERR15003725/ERR15003725_2.fastq.gz	1731316757;1793125690	6f1a2cc82c2f8ab9becd676dc5e7add1;78071f4a22a3c929995d24232692889f	ftp.sra.ebi.ac.uk/vol1/run/ERR150/ERR15003725/827G_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR150/ERR15003725/827G_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR150/ERR15003725/827G_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR150/ERR15003725/827G_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR150/ERR15003725/827G_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR150/ERR15003725/827G_R2_001.fastq.gz	FASTQ;FASTQ	827G		827G		2025-05-20	ftp.sra.ebi.ac.uk/vol1/err/ERR150/025/ERR15003725/ERR15003725.bam	3071759726	dea535535bb896ce3abee1950d49d178	GENERATED_FILE;GENERATED_FILE	SUBMISSION_FILE;SUBMISSION_FILE	ARCHIVAL_FILE
ERR15003727	PRJEB79944	ERP164023	SAMEA118335929	ERS24550610	ERX14407696	ERA33133718	408170	human gut metagenome	ILLUMINA	Illumina NovaSeq 6000	NA		PAIRED	WGS	METAGENOMIC	RANDOM	28573670	4213583559	Centre of Host Microbiome Interaction	2025-05-21	2025-05-21	Illumina NovaSeq 6000 sequencing	Gut and oral microbiomes to investigate the oral-gut-brain axis on the pathophysiology of Parkinson's Disease patients	53e7d904-96a7-4098-8eea-909c4f82549a	ena-EXPERIMENT-TAB-20-05-2025-23:07:32:010-203117	ena-RUN-TAB-20-05-2025-23:07:32:011-203118	1053994913;1146720688	45d9cfde43ce8df37c37f22f4c3f33d4;aba9fd351d2ce8a98d97fc9d49cdb9ae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR150/027/ERR15003727/ERR15003727_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR150/027/ERR15003727/ERR15003727_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR150/027/ERR15003727/ERR15003727_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR150/027/ERR15003727/ERR15003727_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR150/027/ERR15003727/ERR15003727_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR150/027/ERR15003727/ERR15003727_2.fastq.gz	1172807959;1277284972	3c4988feeb862e3e559dc92b822124bc;8aaed7327c952cf25aabc6c9c7a3d9ee	ftp.sra.ebi.ac.uk/vol1/run/ERR150/ERR15003727/919G_S88_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR150/ERR15003727/919G_S88_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR150/ERR15003727/919G_S88_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR150/ERR15003727/919G_S88_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR150/ERR15003727/919G_S88_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR150/ERR15003727/919G_S88_R2_001.fastq.gz	FASTQ;FASTQ	919G		919G		2025-05-20	ftp.sra.ebi.ac.uk/vol1/err/ERR150/027/ERR15003727/ERR15003727.bam	2129927186	7237a05f06bf65efec4ce0735ad3b8b5	GENERATED_FILE;GENERATED_FILE	SUBMISSION_FILE;SUBMISSION_FILE	ARCHIVAL_FILE
ERR15003729	PRJEB79944	ERP164023	SAMEA118335931	ERS24550612	ERX14407698	ERA33133718	408170	human gut metagenome	ILLUMINA	Illumina NovaSeq 6000	NA		PAIRED	WGS	METAGENOMIC	RANDOM	26339756	3893496909	Centre of Host Microbiome Interaction	2025-05-21	2025-05-21	Illumina NovaSeq 6000 sequencing	Gut and oral microbiomes to investigate the oral-gut-brain axis on the pathophysiology of Parkinson's Disease patients	53e7d904-96a7-4098-8eea-909c4f82549a	ena-EXPERIMENT-TAB-20-05-2025-23:07:32:011-203121	ena-RUN-TAB-20-05-2025-23:07:32:012-203122	967680736;1043075754	07928f1f0ca3b174d55f7ba66dd39d4b;5332ed4f124804dd684525d5d2b3a453	ftp.sra.ebi.ac.uk/vol1/fastq/ERR150/029/ERR15003729/ERR15003729_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR150/029/ERR15003729/ERR15003729_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR150/029/ERR15003729/ERR15003729_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR150/029/ERR15003729/ERR15003729_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR150/029/ERR15003729/ERR15003729_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR150/029/ERR15003729/ERR15003729_2.fastq.gz	1077010104;1164165601	e0c27d5897731add5393f537ec1e932f;018874713ad83da38b5f46ca430e0a51	ftp.sra.ebi.ac.uk/vol1/run/ERR150/ERR15003729/713G_S34_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR150/ERR15003729/713G_S34_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR150/ERR15003729/713G_S34_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR150/ERR15003729/713G_S34_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR150/ERR15003729/713G_S34_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR150/ERR15003729/713G_S34_R2_001.fastq.gz	FASTQ;FASTQ	713G		713G		2025-05-20	ftp.sra.ebi.ac.uk/vol1/err/ERR150/029/ERR15003729/ERR15003729.bam	1940809353	4246893c36ee5222cf19cfeac302ab03	GENERATED_FILE;GENERATED_FILE	SUBMISSION_FILE;SUBMISSION_FILE	ARCHIVAL_FILE
ERR15003732	PRJEB79944	ERP164023	SAMEA118335934	ERS24550615	ERX14407701	ERA33133718	408170	human gut metagenome	ILLUMINA	Illumina NovaSeq 6000	NA		PAIRED	WGS	METAGENOMIC	RANDOM	52021060	7535125409	Centre of Host Microbiome Interaction	2025-05-21	2025-05-21	Illumina NovaSeq 6000 sequencing	Gut and oral microbiomes to investigate the oral-gut-brain axis on the pathophysiology of Parkinson's Disease patients	53e7d904-96a7-4098-8eea-909c4f82549a	ena-EXPERIMENT-TAB-20-05-2025-23:07:32:013-203127	ena-RUN-TAB-20-05-2025-23:07:32:013-203128	1890093644;2033037746	3b222362083c8916dbcad0bcfe9d45d5;c4bc539a47ea4d1f45c9c9566e7a08a1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR150/032/ERR15003732/ERR15003732_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR150/032/ERR15003732/ERR15003732_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR150/032/ERR15003732/ERR15003732_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR150/032/ERR15003732/ERR15003732_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR150/032/ERR15003732/ERR15003732_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR150/032/ERR15003732/ERR15003732_2.fastq.gz	2098441629;2264376715	5f8ab79d3735a0611c1e099eb0525cec;573acf996333800ceaf7a7b7b1cde6c9	ftp.sra.ebi.ac.uk/vol1/run/ERR150/ERR15003732/732G_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR150/ERR15003732/732G_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR150/ERR15003732/732G_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR150/ERR15003732/732G_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR150/ERR15003732/732G_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR150/ERR15003732/732G_R2_001.fastq.gz	FASTQ;FASTQ	732G		732G		2025-05-20	ftp.sra.ebi.ac.uk/vol1/err/ERR150/032/ERR15003732/ERR15003732.bam	3794089115	bc7c4247af4b10a9ca6bd813a3d47820	GENERATED_FILE;GENERATED_FILE	SUBMISSION_FILE;SUBMISSION_FILE	ARCHIVAL_FILE
ERR15003737	PRJEB79944	ERP164023	SAMEA118335939	ERS24550620	ERX14407706	ERA33133718	408170	human gut metagenome	ILLUMINA	Illumina NovaSeq 6000	NA		PAIRED	WGS	METAGENOMIC	RANDOM	25199196	3724609406	Centre of Host Microbiome Interaction	2025-05-21	2025-05-21	Illumina NovaSeq 6000 sequencing	Gut and oral microbiomes to investigate the oral-gut-brain axis on the pathophysiology of Parkinson's Disease patients	53e7d904-96a7-4098-8eea-909c4f82549a	ena-EXPERIMENT-TAB-20-05-2025-23:07:32:014-203137	ena-RUN-TAB-20-05-2025-23:07:32:014-203138	931411042;993801092	aa3b526fc564d587ae2d01b98e54ab5c;9181e40ec36f4c925061c74582ed6734	ftp.sra.ebi.ac.uk/vol1/fastq/ERR150/037/ERR15003737/ERR15003737_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR150/037/ERR15003737/ERR15003737_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR150/037/ERR15003737/ERR15003737_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR150/037/ERR15003737/ERR15003737_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR150/037/ERR15003737/ERR15003737_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR150/037/ERR15003737/ERR15003737_2.fastq.gz	1050669997;1124050268	acc480243d3d11742f35777e077c1d69;c8807109cdb5bc8353aff32007940820	ftp.sra.ebi.ac.uk/vol1/run/ERR150/ERR15003737/798G_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR150/ERR15003737/798G_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR150/ERR15003737/798G_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR150/ERR15003737/798G_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR150/ERR15003737/798G_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR150/ERR15003737/798G_R2_001.fastq.gz	FASTQ;FASTQ	798G		798G		2025-05-20	ftp.sra.ebi.ac.uk/vol1/err/ERR150/037/ERR15003737/ERR15003737.bam	1858183550	5589c64dcfe675a4a6d76e1bcc28701c	GENERATED_FILE;GENERATED_FILE	SUBMISSION_FILE;SUBMISSION_FILE	ARCHIVAL_FILE
ERR15003740	PRJEB79944	ERP164023	SAMEA118335942	ERS24550623	ERX14407709	ERA33133718	408170	human gut metagenome	ILLUMINA	Illumina NovaSeq 6000	NA		PAIRED	WGS	METAGENOMIC	RANDOM	9904900	1458486187	Centre of Host Microbiome Interaction	2025-05-21	2025-05-21	Illumina NovaSeq 6000 sequencing	Gut and oral microbiomes to investigate the oral-gut-brain axis on the pathophysiology of Parkinson's Disease patients	53e7d904-96a7-4098-8eea-909c4f82549a	ena-EXPERIMENT-TAB-20-05-2025-23:07:32:015-203143	ena-RUN-TAB-20-05-2025-23:07:32:015-203144	363982929;386228207	2e75414d9ae68650d51a09618c5abd9b;446dd70cfb8cd7ec0f1ff4ac4b0d62c9	ftp.sra.ebi.ac.uk/vol1/fastq/ERR150/040/ERR15003740/ERR15003740_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR150/040/ERR15003740/ERR15003740_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR150/040/ERR15003740/ERR15003740_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR150/040/ERR15003740/ERR15003740_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR150/040/ERR15003740/ERR15003740_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR150/040/ERR15003740/ERR15003740_2.fastq.gz	412618922;438450577	0c01380d8b01430d712f48ca6fe72de8;5524741539ec90dc10fe12a88a1009d2	ftp.sra.ebi.ac.uk/vol1/run/ERR150/ERR15003740/723G_S46_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR150/ERR15003740/723G_S46_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR150/ERR15003740/723G_S46_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR150/ERR15003740/723G_S46_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR150/ERR15003740/723G_S46_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR150/ERR15003740/723G_S46_R2_001.fastq.gz	FASTQ;FASTQ	723G		723G		2025-05-20	ftp.sra.ebi.ac.uk/vol1/err/ERR150/040/ERR15003740/ERR15003740.bam	727668053	71b51ae98d33dcf6e1f07c2ea51095e6	GENERATED_FILE;GENERATED_FILE	SUBMISSION_FILE;SUBMISSION_FILE	ARCHIVAL_FILE
ERR15003743	PRJEB79944	ERP164023	SAMEA118335945	ERS24550626	ERX14407712	ERA33133718	408170	human gut metagenome	ILLUMINA	Illumina NovaSeq 6000	NA		PAIRED	WGS	METAGENOMIC	RANDOM	22871022	3370747706	Centre of Host Microbiome Interaction	2025-05-21	2025-05-21	Illumina NovaSeq 6000 sequencing	Gut and oral microbiomes to investigate the oral-gut-brain axis on the pathophysiology of Parkinson's Disease patients	53e7d904-96a7-4098-8eea-909c4f82549a	ena-EXPERIMENT-TAB-20-05-2025-23:07:32:016-203149	ena-RUN-TAB-20-05-2025-23:07:32:017-203150	842181297;899088678	5a140085d576a045f26ce7b0dd6c3c52;065f53cec98287c089e386c6d843c3ee	ftp.sra.ebi.ac.uk/vol1/fastq/ERR150/043/ERR15003743/ERR15003743_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR150/043/ERR15003743/ERR15003743_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR150/043/ERR15003743/ERR15003743_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR150/043/ERR15003743/ERR15003743_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR150/043/ERR15003743/ERR15003743_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR150/043/ERR15003743/ERR15003743_2.fastq.gz	943578858;1009825356	ca6ff2c910afeff92326a958a74b0872;4381b55220cec75b387898964bc0ec1b	ftp.sra.ebi.ac.uk/vol1/run/ERR150/ERR15003743/711G_S33_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR150/ERR15003743/711G_S33_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR150/ERR15003743/711G_S33_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR150/ERR15003743/711G_S33_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR150/ERR15003743/711G_S33_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR150/ERR15003743/711G_S33_R2_001.fastq.gz	FASTQ;FASTQ	711G		711G		2025-05-20	ftp.sra.ebi.ac.uk/vol1/err/ERR150/043/ERR15003743/ERR15003743.bam	1683281399	af5592a6e5d0e67238c75e5e6fab8547	GENERATED_FILE;GENERATED_FILE	SUBMISSION_FILE;SUBMISSION_FILE	ARCHIVAL_FILE
ERR15003761	PRJEB79944	ERP164023	SAMEA118335963	ERS24550644	ERX14407730	ERA33133718	408170	human gut metagenome	ILLUMINA	Illumina NovaSeq 6000	NA		PAIRED	WGS	METAGENOMIC	RANDOM	20181252	2968472637	Centre of Host Microbiome Interaction	2025-05-21	2025-05-21	Illumina NovaSeq 6000 sequencing	Gut and oral microbiomes to investigate the oral-gut-brain axis on the pathophysiology of Parkinson's Disease patients	53e7d904-96a7-4098-8eea-909c4f82549a	ena-EXPERIMENT-TAB-20-05-2025-23:07:32:023-203185	ena-RUN-TAB-20-05-2025-23:07:32:023-203186	745855348;789759967	dfa015a5ed701e45916c7eda10fc9513;8a91b47fee41fe8dc6265f8df89c4ffc	ftp.sra.ebi.ac.uk/vol1/fastq/ERR150/061/ERR15003761/ERR15003761_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR150/061/ERR15003761/ERR15003761_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR150/061/ERR15003761/ERR15003761_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR150/061/ERR15003761/ERR15003761_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR150/061/ERR15003761/ERR15003761_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR150/061/ERR15003761/ERR15003761_2.fastq.gz	831366671;882211206	f3f6a3dc6adb7ff02ad81d89ffc4c4db;ba23195df803e6cee984af8fc81641c9	ftp.sra.ebi.ac.uk/vol1/run/ERR150/ERR15003761/883G_S61_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR150/ERR15003761/883G_S61_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR150/ERR15003761/883G_S61_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR150/ERR15003761/883G_S61_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR150/ERR15003761/883G_S61_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR150/ERR15003761/883G_S61_R2_001.fastq.gz	FASTQ;FASTQ	883G		883G		2025-05-20	ftp.sra.ebi.ac.uk/vol1/err/ERR150/061/ERR15003761/ERR15003761.bam	1483727218	f28b84942fec2e575f2121bcd1b4c40a	GENERATED_FILE;GENERATED_FILE	SUBMISSION_FILE;SUBMISSION_FILE	ARCHIVAL_FILE
