taxon,lfc,q,diff_sig,passed_ss,robust_sig
g__Sellimonas,0.5883097688148246,2.206044820686574e-12,TRUE,TRUE,TRUE
g__Eubacterium,0.5766743749113237,7.049462163276356e-12,TRUE,TRUE,TRUE
g__[Eubacterium]_xylanophilum_group,-0.47025468350266314,1.4328850691361765e-8,TRUE,TRUE,TRUE
g__Thomasclavelia,0.5537058727884449,4.659999692621245e-8,TRUE,TRUE,TRUE
g__Parasutterella,-0.5358114846654531,3.666798484106627e-7,TRUE,TRUE,TRUE
g__Lachnospiraceae_UCG-004,-0.45297794710025613,5.21365742653836e-7,TRUE,TRUE,TRUE
g__Butyribacter,-0.32762981946787245,2.4950676303682243e-5,TRUE,TRUE,TRUE
g__Agathobacter,-0.4849727897795312,9.166882897830807e-5,TRUE,TRUE,TRUE
g__Bifidobacterium,0.5752358043674456,5.793116675313658e-4,TRUE,TRUE,TRUE
g__Romboutsia,-0.43988720728664066,5.793116675313658e-4,TRUE,TRUE,TRUE
g__Agathobaculum,-0.36442240833824013,6.882843890745403e-4,TRUE,TRUE,TRUE
g__[Eubacterium]_eligens_group,-0.3049776346677436,0.0015086292633159505,TRUE,TRUE,TRUE
