taxon,lfc,q,diff_sig,passed_ss,robust_sig
g__GGB9350,0.9504869987902965,1.4675409406246897e-24,TRUE,TRUE,TRUE
g__GGB36267,0.8633997601964534,9.874671443071386e-23,TRUE,TRUE,TRUE
g__Ligilactobacillus,0.898177758553403,1.1141242813210239e-20,TRUE,TRUE,TRUE
g__Granulicatella,-0.7400838099343061,7.880912340047035e-19,TRUE,TRUE,TRUE
g__Cloacibacillus,0.727200333270064,1.1446172823319264e-16,TRUE,TRUE,TRUE
g__GGB9345,0.8144252157016741,1.726253145526418e-16,TRUE,TRUE,TRUE
g__GGB33512,0.8916816153446437,1.8255170400251847e-14,TRUE,TRUE,TRUE
g__GGB9699,0.635922960534313,1.957610225350196e-11,TRUE,TRUE,TRUE
g__GGB9619,-0.568144247955858,7.75845574710874e-11,TRUE,TRUE,TRUE
g__GGB9695,0.560284665746093,3.64235982208536e-10,TRUE,TRUE,TRUE
g__Ruthenibacterium,0.6579650879491235,1.3576037669029071e-9,TRUE,TRUE,TRUE
g__GGB9694,0.580077686904228,1.9098178620861254e-9,TRUE,TRUE,TRUE
g__Lacrimispora,-0.6225014062149223,6.660654365202094e-9,TRUE,TRUE,TRUE
g__Anaerotruncus,0.6562467821143578,2.4306095968568808e-8,TRUE,TRUE,TRUE
g__Blautia,-0.4867524517672321,4.4766409145892055e-8,TRUE,TRUE,TRUE
g__GGB9781,0.46905859787722193,1.0733803827170461e-7,TRUE,TRUE,TRUE
g__GGB9770,0.5115794982326191,1.340630874669153e-7,TRUE,TRUE,TRUE
g__Firmicutes_unclassified,-0.5327904541247678,1.8074861572334465e-7,TRUE,TRUE,TRUE
g__Methanobrevibacter,0.47567057305831417,2.3071278639453884e-7,TRUE,TRUE,TRUE
g__Faecalimonas,-0.4165179767781349,4.5753085185561414e-7,TRUE,TRUE,TRUE
g__GGB3746,-0.537585995196079,7.309617507948508e-7,TRUE,TRUE,TRUE
g__Neglectibacter,0.4385204696190728,1.4223379206405686e-5,TRUE,TRUE,TRUE
g__Hungatella,0.4752067179134678,1.822109281409055e-5,TRUE,TRUE,TRUE
g__GGB45432,0.3566801789427311,7.15828054494896e-5,TRUE,TRUE,TRUE
g__Lachnospiraceae_unclassified,-0.5782168287594018,1.8828609479343956e-4,TRUE,TRUE,TRUE
g__GGB9775,0.2928213532734507,3.568855911888693e-4,TRUE,TRUE,TRUE
g__Anaerostipes,-0.3843856087990812,0.0010116201831215743,TRUE,TRUE,TRUE
g__GGB2980,0.26285239224351353,0.001772392125443792,TRUE,TRUE,TRUE
g__Fusicatenibacter,-0.3530019301236822,0.007765428754333334,TRUE,TRUE,TRUE
g__Hydrogenoanaerobacterium,-0.2334821985559368,0.014385991804174039,TRUE,TRUE,TRUE
g__Candidatus_Woodwardibium,0.19193652474488165,0.014849885318776696,TRUE,TRUE,TRUE
g__Coprobacillus,0.18386127436898306,0.028174842167807374,TRUE,TRUE,TRUE
